Date,Average_Wind_Speed,Average_Temperature,Fog_Ice_Freezing_Fog,Thunder,Smoke_or_Haze
2019-06-02,8.72,60.0,,,
2019-06-03,8.05,58.0,,,
2019-06-04,10.51,64.0,1.0,1.0,
2019-06-05,9.4,74.0,1.0,1.0,
2019-06-06,6.93,65.0,1.0,,1.0
2019-06-07,8.95,66.0,,,
2019-06-08,9.17,67.0,,,
2019-06-09,5.82,69.0,1.0,,
2019-06-10,13.65,67.0,1.0,,
2019-06-11,8.28,69.0,,,
2019-06-12,10.07,67.0,1.0,,
2019-06-13,14.09,58.0,,,
2019-06-14,14.54,65.0,1.0,,
2019-06-15,8.28,67.0,1.0,,
2019-06-16,9.62,57.0,1.0,,
2019-06-17,7.61,59.0,1.0,,
2019-06-18,4.25,64.0,1.0,,1.0
2019-06-19,9.4,67.0,1.0,,1.0
2019-06-20,9.84,60.0,1.0,,
2019-06-21,7.16,63.0,,,
2019-06-22,10.29,67.0,,,
2019-06-23,10.29,73.0,1.0,1.0,
2019-06-24,9.62,71.0,1.0,1.0,
2019-06-25,11.18,72.0,,1.0,
2019-06-26,5.82,78.0,,1.0,
2019-06-27,7.61,77.0,,1.0,
2019-06-28,7.61,76.0,,1.0,
2019-06-29,5.14,78.0,,,
2019-06-30,5.82,78.0,1.0,1.0,
2019-07-01,6.26,77.0,,,
2019-07-02,9.84,84.0,,1.0,
2019-07-03,6.71,78.0,1.0,1.0,
2019-07-04,8.28,78.0,1.0,,1.0
2019-07-05,6.04,81.0,,1.0,
2019-07-06,12.53,78.0,1.0,,
2019-07-07,13.87,70.0,,,
2019-07-08,6.71,71.0,,,
2019-07-09,7.16,74.0,,,
2019-07-10,10.51,83.0,,,
2019-07-11,8.05,78.0,,,
2019-07-12,6.04,72.0,,,
2019-07-13,9.62,82.0,,,
2019-07-14,6.49,79.0,,1.0,
2019-07-15,11.63,81.0,,,
2019-07-16,6.49,77.0,1.0,,
2019-07-17,5.37,80.0,1.0,1.0,1.0
2019-07-18,10.96,77.0,1.0,1.0,
2019-07-19,11.86,85.0,,,
2019-07-20,11.63,85.0,1.0,1.0,
2019-07-21,12.3,74.0,1.0,1.0,1.0
2019-07-22,12.75,70.0,,,
2019-07-23,7.61,70.0,,,
2019-07-24,5.14,71.0,,,
2019-07-25,4.92,73.0,,,
2019-07-26,9.4,76.0,,,
2019-07-27,13.65,80.0,,,
2019-07-28,11.41,81.0,,,
2019-07-29,8.05,77.0,1.0,1.0,
2019-07-30,7.83,73.0,,,
2019-07-31,8.95,69.0,,,
2019-08-01,6.93,69.0,,,
2019-08-02,5.37,72.0,,,
2019-08-03,3.8,75.0,,,1.0
2019-08-04,4.7,79.0,,,
