Date,Average_Wind_Speed,Average_Temperature,Fog_Ice_Freezing_Fog,Thunder,Smoke_or_Haze
2020-11-14,12.3,35.0,1.0,1.0,
2020-11-15,19.91,46.0,1.0,,1.0
2020-11-16,11.63,38.0,,,
2020-11-17,9.4,38.0,,,
2020-11-18,14.54,41.0,,,
2020-11-19,19.91,53.0,,,
2020-11-20,10.51,57.0,,,
2020-11-21,6.49,43.0,,,
2020-11-22,6.71,43.0,,,
2020-11-23,5.82,41.0,,,
2020-11-24,9.4,37.0,1.0,,
2020-11-25,8.05,45.0,1.0,,
2020-11-26,9.4,44.0,1.0,,
2020-11-27,7.38,42.0,1.0,,1.0
2020-11-28,10.96,37.0,,,
2020-11-29,11.63,43.0,,,
2020-11-30,17.0,35.0,,,
2020-12-01,8.28,29.0,,,
2020-12-02,6.71,33.0,,,
2020-12-03,10.96,36.0,,,
2020-12-04,10.29,38.0,,,
2020-12-05,4.92,34.0,,,
2020-12-06,4.7,35.0,1.0,,1.0
2020-12-07,4.03,36.0,,,
2020-12-08,10.07,35.0,1.0,,1.0
2020-12-09,5.59,39.0,1.0,,1.0
2020-12-10,4.47,42.0,,,1.0
2020-12-11,14.76,43.0,1.0,,1.0
2020-12-12,15.21,40.0,1.0,,
2020-12-13,6.71,31.0,,,
2020-12-14,9.62,30.0,,,
2020-12-15,8.95,25.0,,,
2020-12-16,9.4,31.0,,,
2020-12-17,5.14,33.0,,,
2020-12-18,10.07,30.0,,,1.0
2020-12-19,9.62,38.0,1.0,,1.0
2020-12-20,9.17,36.0,1.0,,1.0
2020-12-21,12.97,37.0,,,
2020-12-22,10.29,37.0,,,
2020-12-23,20.8,47.0,1.0,,
2020-12-24,14.76,22.0,,,1.0
2020-12-25,12.53,13.0,,,
2020-12-26,5.82,23.0,,,
2020-12-27,8.72,32.0,,,
2020-12-28,10.51,33.0,,,1.0
2020-12-29,8.28,24.0,1.0,,
2020-12-30,14.09,32.0,1.0,,
2020-12-31,4.03,26.0,1.0,,1.0
2021-01-01,11.86,27.0,1.0,,1.0
2021-01-02,6.26,32.0,1.0,,1.0
2021-01-03,6.93,32.0,1.0,,
2021-01-04,7.83,27.0,1.0,,
2021-01-05,5.59,31.0,1.0,,1.0
2021-01-06,4.7,33.0,1.0,,1.0
2021-01-07,9.17,35.0,1.0,,
2021-01-08,11.86,34.0,1.0,,
2021-01-09,7.38,31.0,,,
2021-01-10,5.82,29.0,,,
2021-01-11,13.2,25.0,1.0,,1.0
2021-01-12,10.74,31.0,,,
2021-01-13,8.5,35.0,,,
2021-01-14,9.17,36.0,1.0,,
2021-01-15,6.04,35.0,1.0,,
2021-01-16,8.5,33.0,1.0,,
2021-01-17,6.71,32.0,1.0,,
2021-01-18,9.17,28.0,1.0,,
2021-01-19,10.07,24.0,1.0,,1.0
2021-01-20,12.97,23.0,,,
2021-01-21,14.32,34.0,,,
2021-01-22,10.29,23.0,,,
2021-01-23,5.59,17.0,,,
2021-01-24,6.93,30.0,1.0,,
2021-01-25,14.32,31.0,1.0,,
2021-01-26,17.67,31.0,1.0,,
2021-01-27,11.18,24.0,,,1.0
2021-01-28,5.14,17.0,,,
2021-01-29,6.04,22.0,,,
2021-01-30,16.55,31.0,1.0,,
2021-01-31,16.78,31.0,1.0,,
2021-02-01,11.18,29.0,,,
2021-02-02,9.17,26.0,,,
2021-02-03,5.14,26.0,1.0,,1.0
2021-02-04,15.21,32.0,1.0,,
2021-02-05,18.12,17.0,,,
2021-02-06,9.17,9.0,,,1.0
2021-02-07,8.28,1.0,,,
2021-02-08,4.03,5.0,,,
2021-02-09,8.28,8.0,,,
2021-02-10,8.28,10.0,,,
2021-02-11,11.41,12.0,,,
2021-02-12,9.62,14.0,,,
2021-02-13,10.96,8.0,1.0,,1.0
2021-02-14,10.74,0.0,1.0,,
2021-02-15,16.11,4.0,,,1.0
2021-02-16,10.29,12.0,1.0,,1.0
2021-02-17,4.92,15.0,,,
2021-02-18,5.59,21.0,1.0,,
2021-02-19,8.72,16.0,,,1.0
2021-02-20,5.14,17.0,1.0,,1.0
2021-02-21,10.96,26.0,1.0,,
2021-02-22,14.99,33.0,1.0,,1.0
2021-02-23,10.07,40.0,,,
2021-02-24,10.96,42.0,,,
2021-02-25,7.16,34.0,,,
2021-02-26,8.28,34.0,,,1.0
2021-02-27,7.16,40.0,1.0,,1.0
2021-02-28,11.63,43.0,1.0,,1.0
2021-03-01,8.5,33.0,,,
2021-03-02,10.74,30.0,,,
2021-03-03,8.28,44.0,,,
2021-03-04,13.42,36.0,,,
2021-03-05,5.82,34.0,,,
2021-03-06,3.36,36.0,,,
2021-03-07,7.16,36.0,,,
2021-03-08,10.74,51.0,,,
2021-03-09,10.07,53.0,,,
2021-03-10,19.01,61.0,,,
2021-03-11,13.87,55.0,,,
2021-03-12,8.28,45.0,,,
2021-03-13,5.37,43.0,,,
2021-03-14,16.78,45.0,,,
2021-03-15,16.11,35.0,1.0,,
2021-03-16,6.49,35.0,1.0,,
2021-03-17,13.2,36.0,1.0,,1.0
2021-03-18,27.96,39.0,1.0,,
2021-03-19,10.29,39.0,,,
2021-03-20,6.26,41.0,,,
2021-03-21,9.84,50.0,,,
2021-03-22,9.84,56.0,,,
2021-03-23,10.51,57.0,1.0,,
2021-03-24,14.99,55.0,1.0,,
2021-03-25,11.63,47.0,1.0,,
2021-03-26,6.49,39.0,,,
2021-03-27,9.62,47.0,1.0,,1.0
2021-03-28,15.66,48.0,,,
2021-03-29,14.99,44.0,,,
2021-03-30,17.0,57.0,,,1.0
2021-03-31,14.09,42.0,,,
2021-04-01,11.63,33.0,,,
2021-04-02,8.72,36.0,,,
2021-04-03,12.97,51.0,,,
2021-04-04,5.82,60.0,,,1.0
2021-04-05,11.63,67.0,,1.0,
2021-04-06,10.74,70.0,,,
2021-04-07,10.51,70.0,,,
2021-04-08,9.17,63.0,1.0,,1.0
2021-04-09,10.51,54.0,1.0,,
2021-04-10,8.05,53.0,1.0,,
2021-04-11,5.14,50.0,1.0,,
2021-04-12,11.41,54.0,1.0,,
2021-04-13,11.41,49.0,,,
2021-04-14,10.29,44.0,,,
2021-04-15,8.95,45.0,,,
2021-04-16,6.49,47.0,,,
2021-04-17,7.16,44.0,,,
2021-04-18,5.82,49.0,,,
2021-04-19,11.86,51.0,,,
2021-04-20,6.26,40.0,1.0,,1.0
2021-04-21,8.95,39.0,1.0,,1.0
2021-04-22,9.17,42.0,,,1.0
2021-04-23,10.51,53.0,,,
2021-04-24,4.92,55.0,,,
2021-04-25,10.96,46.0,,,
2021-04-26,15.21,53.0,,,
2021-04-27,14.32,73.0,,,
2021-04-28,9.17,52.0,1.0,,1.0
2021-04-29,9.62,53.0,1.0,,
2021-04-30,11.86,53.0,,,
2021-05-01,17.22,56.0,,,
2021-05-02,16.11,74.0,,,
2021-05-03,8.72,65.0,1.0,,
2021-05-04,8.5,57.0,,,
2021-05-05,9.17,51.0,,,
2021-05-06,7.61,49.0,,,
2021-05-07,9.84,50.0,,,
2021-05-08,6.71,45.0,,,
2021-05-09,12.3,46.0,1.0,,
2021-05-10,9.17,46.0,,,
2021-05-11,6.93,46.0,,,
2021-05-12,5.82,50.0,,,
2021-05-13,4.92,55.0,,,
2021-05-14,6.71,60.0,,,
2021-05-15,7.16,59.0,,,
2021-05-16,3.8,62.0,,,
2021-05-17,7.61,63.0,,,
2021-05-18,9.84,65.0,,,
2021-05-19,10.96,69.0,1.0,,1.0
2021-05-20,10.74,74.0,,,
2021-05-21,8.5,77.0,,,
2021-05-22,7.61,78.0,,,
2021-05-23,7.61,75.0,1.0,,1.0
2021-05-24,7.38,69.0,1.0,,
2021-05-25,13.42,79.0,1.0,,
2021-05-26,11.63,73.0,1.0,1.0,
2021-05-27,17.67,57.0,,,
2021-05-28,19.46,48.0,1.0,1.0,
2021-05-29,12.53,51.0,,,
2021-05-30,4.92,56.0,,,
2021-05-31,7.16,63.0,,,
2021-06-01,4.25,63.0,1.0,,
2021-06-02,5.82,67.0,,,
2021-06-03,5.37,71.0,,,
2021-06-04,10.96,80.0,,,
2021-06-05,12.3,81.0,,,
2021-06-06,11.41,81.0,,,
2021-06-07,6.71,78.0,,,
2021-06-08,4.25,78.0,,,
2021-06-09,5.82,80.0,,,
2021-06-10,5.82,77.0,,,
2021-06-11,4.25,81.0,,1.0,
2021-06-12,5.14,80.0,1.0,1.0,1.0
2021-06-13,7.16,78.0,,,
2021-06-14,11.63,75.0,,,
2021-06-15,9.62,71.0,,,
2021-06-16,6.93,67.0,,,
2021-06-17,8.05,71.0,,1.0,
2021-06-18,8.5,81.0,1.0,1.0,
2021-06-19,10.74,80.0,,,
2021-06-20,6.26,72.0,1.0,1.0,
2021-06-21,12.3,70.0,,,
2021-06-22,7.61,63.0,,,
2021-06-23,14.32,69.0,,,
2021-06-24,10.07,72.0,1.0,1.0,
2021-06-25,9.17,72.0,1.0,1.0,
2021-06-26,10.29,75.0,1.0,1.0,
2021-06-27,11.86,76.0,,,
2021-06-28,5.82,72.0,1.0,1.0,
2021-06-29,7.38,76.0,1.0,1.0,
2021-06-30,5.82,77.0,1.0,1.0,
2021-07-01,13.42,71.0,,1.0,
2021-07-02,6.71,65.0,,,
2021-07-03,8.95,70.0,,,
2021-07-04,7.16,79.0,,,1.0
2021-07-05,12.3,82.0,,,
2021-07-06,10.07,83.0,,,
2021-07-07,8.72,80.0,,,
2021-07-08,7.83,67.0,,,
2021-07-09,7.61,66.0,,,
2021-07-10,9.84,69.0,1.0,,
2021-07-11,13.2,68.0,1.0,,1.0
2021-07-12,8.5,70.0,1.0,,1.0
2021-07-13,5.59,71.0,1.0,,
2021-07-14,10.07,76.0,,,
2021-07-15,10.07,75.0,1.0,,
2021-07-16,11.63,69.0,1.0,,
2021-07-17,10.96,71.0,,,
2021-07-18,8.05,73.0,,,
2021-07-19,5.37,73.0,,,
2021-07-20,9.4,76.0,,,1.0
2021-07-21,8.95,70.0,,,
2021-07-22,4.47,72.0,,,1.0
2021-07-23,7.61,80.0,1.0,,1.0
2021-07-24,8.72,82.0,1.0,1.0,1.0
2021-07-25,5.82,81.0,,,
2021-07-26,4.03,82.0,,,
2021-07-27,6.93,80.0,,,
2021-07-28,8.05,81.0,1.0,1.0,
2021-07-29,13.65,82.0,1.0,1.0,
2021-07-30,10.96,70.0,,,
2021-07-31,5.82,69.0,,,
2021-08-01,10.74,72.0,1.0,,1.0
2021-08-02,4.92,69.0,,,
2021-08-03,4.03,72.0,,,
2021-08-04,3.36,75.0,,,
2021-08-05,7.83,76.0,,,1.0
2021-08-06,10.29,77.0,1.0,1.0,
2021-08-07,7.61,76.0,1.0,,
2021-08-08,11.86,83.0,,1.0,
2021-08-09,10.07,75.0,1.0,1.0,
2021-08-10,8.5,81.0,1.0,1.0,
2021-08-11,13.42,78.0,1.0,1.0,
2021-08-12,9.62,80.0,,,
2021-08-13,6.49,76.0,,,
2021-08-14,6.49,73.0,,,
2021-08-15,6.26,71.0,,,
2021-08-16,5.82,72.0,,,
2021-08-17,5.14,74.0,,,
2021-08-18,6.71,77.0,,,
2021-08-19,5.82,79.0,1.0,1.0,1.0
2021-08-20,5.37,80.0,1.0,,1.0
2021-08-21,8.28,80.0,1.0,1.0,1.0
2021-08-22,8.72,76.0,,,1.0
2021-08-23,5.82,75.0,,,
2021-08-24,8.5,83.0,1.0,1.0,1.0
2021-08-25,6.49,79.0,1.0,1.0,
2021-08-26,5.37,77.0,,,
2021-08-27,6.04,81.0,,,
2021-08-28,8.5,84.0,,1.0,
2021-08-29,10.51,81.0,1.0,1.0,
2021-08-30,4.7,76.0,,,
2021-08-31,8.05,75.0,,,
2021-09-01,12.08,73.0,,,
2021-09-02,5.82,69.0,,,
2021-09-03,6.93,70.0,,,
2021-09-04,8.5,70.0,,,
2021-09-05,8.28,69.0,,,
2021-09-06,4.92,72.0,,,
2021-09-07,10.51,72.0,,1.0,
2021-09-08,10.51,70.0,,,
2021-09-09,5.59,67.0,,,
2021-09-10,5.82,69.0,,,
2021-09-11,8.72,74.0,,,
2021-09-12,10.51,79.0,,,
2021-09-13,6.04,75.0,1.0,,1.0
2021-09-14,13.42,77.0,,,
2021-09-15,5.82,68.0,,,
2021-09-16,5.82,69.0,,,
2021-09-17,8.05,75.0,1.0,1.0,
2021-09-18,9.4,71.0,,,
2021-09-19,5.37,74.0,,,
2021-09-20,11.18,76.0,1.0,1.0,
2021-09-21,12.3,69.0,1.0,1.0,
2021-09-22,16.78,60.0,1.0,,
2021-09-23,10.74,58.0,,,
2021-09-24,12.97,63.0,1.0,,
2021-09-25,9.62,61.0,,,
2021-09-26,12.53,66.0,,,
2021-09-27,11.86,73.0,,,
2021-09-28,8.95,66.0,,,
2021-09-29,5.14,67.0,,,
2021-09-30,4.7,69.0,,,
2021-10-01,5.82,71.0,,,
2021-10-02,8.05,73.0,1.0,1.0,1.0
2021-10-03,5.37,71.0,1.0,1.0,
2021-10-04,11.86,67.0,1.0,,
2021-10-05,11.41,66.0,,,
2021-10-06,9.62,66.0,1.0,,1.0
2021-10-07,4.92,68.0,1.0,1.0,
2021-10-08,3.36,67.0,1.0,1.0,
2021-10-09,5.82,69.0,1.0,,
2021-10-10,10.51,73.0,,,
2021-10-11,11.18,72.0,1.0,1.0,
2021-10-12,8.05,63.0,1.0,,
2021-10-13,7.38,60.0,1.0,1.0,
2021-10-14,5.82,67.0,1.0,,
2021-10-15,7.38,58.0,,,
2021-10-16,10.51,52.0,,,
2021-10-17,7.16,53.0,,,
2021-10-18,4.25,57.0,,,1.0
2021-10-19,8.05,61.0,,,
2021-10-20,8.5,61.0,,1.0,
2021-10-21,11.18,57.0,1.0,,
2021-10-22,5.59,48.0,,,
2021-10-23,3.58,47.0,,,
2021-10-24,12.3,46.0,1.0,1.0,1.0
2021-10-25,19.69,50.0,1.0,1.0,
2021-10-26,7.61,49.0,,,
2021-10-27,7.38,47.0,,,
2021-10-28,9.84,51.0,1.0,,
2021-10-29,17.67,54.0,1.0,,
2021-10-30,12.3,54.0,1.0,,
2021-10-31,10.07,49.0,,,
2021-11-01,8.05,41.0,,,
2021-11-02,8.05,40.0,,,
2021-11-03,5.14,37.0,,,
2021-11-04,4.7,38.0,,,
2021-11-05,7.83,42.0,,,
2021-11-06,9.84,46.0,,,
2021-11-07,9.84,52.0,,,
2021-11-08,7.83,56.0,,,
2021-11-09,9.4,55.0,1.0,,1.0
2021-11-10,8.72,48.0,,,1.0
2021-11-11,12.75,53.0,1.0,,1.0
2021-11-12,14.32,41.0,1.0,,
2021-11-13,11.18,37.0,1.0,,
2021-11-14,14.09,36.0,1.0,,
2021-11-15,4.47,33.0,,,
2021-11-16,8.95,38.0,1.0,,1.0
2021-11-17,12.3,55.0,1.0,,
2021-11-18,14.32,37.0,,,
2021-11-19,7.83,33.0,,,
2021-11-20,8.05,40.0,,,
2021-11-21,10.51,44.0,,,
2021-11-22,9.17,31.0,,,
2021-11-23,9.4,32.0,,,
2021-11-24,13.42,42.0,,,
2021-11-25,13.42,44.0,,,
2021-11-26,6.49,25.0,,,
2021-11-27,9.62,34.0,,,
2021-11-28,9.4,35.0,,,
2021-11-29,9.17,33.0,,,
2021-11-30,7.38,42.0,,,
2021-12-01,8.72,41.0,,,
2021-12-02,9.84,51.0,,,
2021-12-03,6.93,46.0,1.0,,
2021-12-04,6.71,38.0,1.0,,
2021-12-05,9.4,38.0,1.0,,
2021-12-06,17.45,35.0,,,
2021-12-07,6.93,18.0,,,
2021-12-08,6.71,28.0,,,
2021-12-09,8.72,34.0,,,
2021-12-10,9.17,42.0,1.0,,
2021-12-11,16.33,45.0,,,
2021-12-12,14.32,38.0,,,
2021-12-13,7.61,42.0,,,
2021-12-14,8.05,41.0,1.0,,1.0
2021-12-15,19.01,56.0,,,
2021-12-16,19.24,51.0,,,1.0
2021-12-17,8.28,33.0,,,
2021-12-18,10.07,37.0,1.0,,
2021-12-19,7.38,32.0,,,
2021-12-20,10.96,34.0,,,
2021-12-21,11.63,32.0,,,
2021-12-22,8.05,26.0,,,
2021-12-23,7.83,34.0,1.0,,1.0
2021-12-24,8.95,43.0,1.0,,1.0
2021-12-25,9.17,49.0,1.0,,
2021-12-26,8.5,35.0,1.0,1.0,
2021-12-27,10.51,40.0,1.0,1.0,
2021-12-28,6.26,34.0,1.0,,
2021-12-29,8.05,35.0,1.0,,1.0
2021-12-30,5.14,32.0,1.0,,1.0
2021-12-31,,37.0,,,
